,old-man-sea-words
2306,port
2307,intelligently
2308,crumbs
2309,harmed
2310,colonies
2311,enemies
2312,strongly
2313,shingle
2314,rock
2315,unstepped
2316,shouldered
2317,climb
2318,tiredness
2319,street
2320,standing
2321,naked
2322,mass
2323,nakedness
2324,business
2325,drifting-boats
2326,breathing
2327,cry
2328,crying
2329,measuring
2330,skeleton
2331,shouted
2332,eighteen
2333,afterwards
2334,proprietor
2335,damn
2336,bother
2337,thanks
2338,heat
2339,pedrico
2340,search
2341,guard
2342,planes
2343,speaking
2344,missed
2345,hell
2346,family
2347,lance
2348,leaf
2349,ford
2350,grind
2351,guanabacoa
2352,tempered
2353,ground
2354,lie
2355,papers
2356,teach
2357,drug-store
2358,forget
2359,party
2360,tourists
2361,barracudas
2362,spine
2363,tide
2364,blew
2365,entrance
2366,waiter
2367,pointed
2368,garbage
2369,tiburon
2370,eshark
2371,meaning
2372,explain
2373,formed
2374,companion
